text,label
Mefenamic acid (mefenamic acid) interacts with zanubrutinib,1
8-Mop (methoxsalen (oral)) interacts with gefitinib,1
Clopidogrel (clopidogrel) interacts with simvastatin,0
Dextromethorphan (dextromethorphan) interacts with milnacipran,1
Imdur (isosorbide mononitrate) interacts with prazosin,0
Estrace (estradiol oral) interacts with troleandomycin,1
Ultram ER (tramadol) interacts with lenvatinib,0
"Xywav (calcium oxybate, magnesium oxybate, potassium oxybate, and sodium oxybate) interacts with trifluoperazine",1
Prednisolone (prednisolone) interacts with cinoxacin,1
Jardiance (empagliflozin) interacts with clonazepam,0
Juvisync (simvastatin and sitagliptin) interacts with rivaroxaban,0
Lo Loestrin FE (ethinyl estradiol and norethindrone acetate) interacts with duloxetine,0
Venclexta (venetoclax) interacts with amoxicillin,0
Rivastigmine (rivastigmine (oral)) interacts with zolmitriptan (oral),0
Xtandi (enzalutamide) interacts with tamsulosin,0
Yorvipath (palopegteriparatide) interacts with bendroflumethiazide,1
Arikayce (amikacin liposome) interacts with ofatumumab,0
Lokelma (sodium zirconium cyclosilicate) interacts with rifaximin,0
Qvar Redihaler (beclomethasone inhalation) interacts with ergocalciferol,1
Wellbutrin SR (bupropion) interacts with levalbuterol inhalation,0
Carvykti (ciltacabtagene autoleucel) interacts with zileuton,0
Bismuth subsalicylate (bismuth subsalicylate) interacts with apomorphine injection,0
Nourianz (istradefylline) interacts with amprenavir,1
Lactulose (lactulose (oral)) interacts with senna,1
Singulair (montelukast) interacts with topiramate,0
Phenytoin (phenytoin (oral)) interacts with avatrombopag,1
Annovera Vaginal Ring (ethinyl estradiol and segesterone (vaginal ring)) interacts with phenytoin,1
Repaglinide (repaglinide (oral)) interacts with trovafloxacin,1
Donepezil (donepezil) interacts with rivastigmine,1
Claritin (loratadine) interacts with polyethylene glycol 3350,0
Enspryng (satralizumab-mwge) interacts with talimogene laherparepvec,1
Nifedipine (nifedipine) interacts with insulin glargine,0
Levocetirizine (levocetirizine) interacts with dexchlorpheniramine,1
Mavyret (glecaprevir and pibrentasvir) interacts with testosterone topical,0
Nitazoxanide (nitazoxanide) interacts with denosumab-bbdz,0
"Diflucan (fluconazole) interacts with hyoscyamine, methenamine, methylene blue, phenyl salicylate, sodium biphosphate",0
Indapamide (indapamide) interacts with phentermine,0
Coumadin (warfarin (oral)) interacts with doxylamine,0
"Levemir (insulin detemir) interacts with cobicistat, elvitegravir, emtricitabine, and tenofovir",0
Duopa (carbidopa and levodopa enteral) interacts with propiomazine,1
Prilosec (omeprazole) interacts with vamorolone,0
Linzess (linaclotide) interacts with ethinyl estradiol,1
Dextromethorphan (dextromethorphan) interacts with quinidine,1
Xeljanz (tofacitinib) interacts with buspirone,0
Advil (ibuprofen) interacts with bethanechol,0
Fenofibrate (fenofibrate) interacts with sitagliptin,0
Haloperidol (haloperidol (oral)) interacts with gepirone,1
Diovan (valsartan) interacts with triamcinolone topical,0
Ustekinumab (Ustekinumab) interacts with leflunomide,1
Raloxifene (raloxifene) interacts with leuprolide,0
Vicodin (acetaminophen and hydrocodone) interacts with propoxyphene,1
Adderall XR (amphetamine and dextroamphetamine) interacts with citalopram,1
Decadron (dexamethasone (oral)) interacts with hydrocodone,1
Roflumilast Topical interacts with fluconazole,0
Ferrous sulfate (ferrous sulfate) interacts with lanthanum carbonate,1
Claritin (loratadine) interacts with vorasidenib,1
Reglan (metoclopramide) interacts with thiethylperazine,1
Amoxicillin and Clavulanate (amoxicillin and clavulanate potassium) interacts with olanzapine and samidorphan,0
Xyntha (antihemophilic factor (recombinant)) interacts with efgartigimod alfa,1
Triamterene (triamterene) interacts with secukinumab,0
Ngenla (somatrogon-ghla) interacts with methadone,1
"Imbruvica (ibrutinib) interacts with hyoscyamine, methenamine, methylene blue, phenyl salicylate, sodium biphosphate",0
Nitrostat (nitroglycerin (sublingual)) interacts with acetylcysteine (oral),0
Levocetirizine (levocetirizine) interacts with ketamine,1
Pravastatin (pravastatin) interacts with aripiprazole,0
Diclofenac (diclofenac) interacts with ticagrelor,1
Bunavail (buprenorphine and naloxone (oral/sublingual)) interacts with diazepam (oral),0
"Tetracycline (tetracycline) interacts with typhoid vaccine, live",1
Xyosted Injection (testosterone injection) interacts with teriflunomide,1
Tysabri (natalizumab) interacts with venetoclax,1
Hytrin (terazosin) interacts with iloperidone,1
Krazati (adagrasib) interacts with nirogacestat,1
Amiodarone (amiodarone tablets (oral)) interacts with halothane,1
Voydeya (danicopan) interacts with nan,0
Urispas (flavoxate) interacts with atorvastatin,0
Rytary (carbidopa and levodopa) interacts with molindone,1
Tenormin (atenolol) interacts with nabumetone,0
Aptiom (eslicarbazepine) interacts with lumateperone,1
Clodan (clobetasol topical) interacts with mesalamine,0
Lanadelumab (Lanadelumab) interacts with buprenorphine (injection),0
Stelara (ustekinumab) interacts with ponesimod,1
Farxiga (dapagliflozin) interacts with chromium picolinate,1
"Ketoprofen (ketoprofen) interacts with acetaminophen, butalbital, and caffeine",0
Quinapril (quinapril) interacts with parenteral nutrition solution w/electrolytes,1
Vamorolone interacts with clindamycin,0
Koselugo (selumetinib) interacts with clofazimine,1
Levofloxacin (levofloxacin (oral)) interacts with disopyramide,1
Fycompa (perampanel) interacts with zonisamide,0
Timolol (timolol) interacts with sofosbuvir/velpatasvir,0
Rituxan Hycela (hyaluronidase and rituximab) interacts with drospirenone and ethinyl estradiol,0
Euthyrox (levothyroxine) interacts with tolvaptan,0
Pioglitazone (pioglitazone (oral)) interacts with fluticasone and salmeterol,0
Doxylamine (doxylamine) interacts with liraglutide,0
Ivabradine (ivabradine) interacts with osimertinib,1
Magnesium oxide (magnesium oxide) interacts with benzphetamine,1
Budesonide (oral) (budesonide) interacts with imipramine,0
Narcan (naloxone) interacts with cannabidiol,0
Lomotil (atropine and diphenoxylate) interacts with pentazocine,1
Narcan (naloxone) interacts with ofatumumab,0
Coreg (carvedilol) interacts with triamcinolone (oral),0
Coumadin (warfarin (oral)) interacts with semaglutide,0
Cobenfy (xanomeline and trospium chloride) interacts with cefuroxime,1
Gvoke (glucagon) interacts with fluocinonide topical,0
Premarin (conjugated estrogens (oral)) interacts with letrozole,1
Trelstar (triptorelin) interacts with olaparib,0
Timolol (timolol) interacts with empagliflozin,0
Euthyrox (levothyroxine) interacts with insulin degludec,1
Vitamin C (ascorbic acid (vitamin C)) interacts with betamethasone topical,0
Lunesta (eszopiclone) interacts with orphenadrine,0
Abilify Asimtufii (aripiprazole) interacts with fludrocortisone,0
Betamethasone Topical (betamethasone topical) interacts with insulin isophane,1
Carbidopa and levodopa (carbidopa and levodopa) interacts with c1 esterase inhibitor recombinant injection (conestat alfa),0
Tibsovo (ivosidenib) interacts with doxepin topical,1
Lokelma (sodium zirconium cyclosilicate) interacts with eszopiclone,0
Rivaroxaban (rivaroxaban) interacts with indomethacin,1
Apriso (mesalamine (oral)) interacts with ioversol,1
Prazosin (prazosin) interacts with sodium nitrite,1
8-Mop (methoxsalen (oral)) interacts with tetracycline topical,1
Omega-3 (omega-3 polyunsaturated fatty acids) interacts with fenoprofen,1
Hydrochlorothiazide (hydrochlorothiazide) interacts with sodium nitrite,1
Wegovy (semaglutide) interacts with liotrix,1
Xermelo (telotristat ethyl) interacts with momelotinib,0
Dilaudid (hydromorphone (oral)) interacts with secobarbital,1
Agamree (vamorolone) interacts with palopegteriparatide,0
Allegra (fexofenadine) interacts with acetylcysteine (oral),0
Yupelri Inhalation (revefenacin (inhalation)) interacts with protriptyline,1
Tremfya (guselkumab) interacts with tofacitinib,1
Pyridium (phenazopyridine) interacts with nan,0
Lithium (lithium) interacts with etodolac,1
Rydapt (midostaurin) interacts with droperidol,1
Zocor (simvastatin) interacts with amantadine,0
Euthyrox (levothyroxine) interacts with iron bisglycinate,1
Abilify Maintena (aripiprazole lauroxil (injection)) interacts with tapentadol,1
Ketoconazole (ketoconazole) interacts with balsalazide,0
Truxima (rituximab) interacts with sarilumab,1
Halcion (triazolam) interacts with hydrochlorothiazide and valsartan,0
Glyxambi (empagliflozin and linagliptin) interacts with sibutramine,1
GoLYTELY (polyethylene glycol electrolyte solution) interacts with hydromorphone (oral),0
Norflex (orphenadrine) interacts with umeclidinium,0
Actemra (tocilizumab) interacts with deucravacitinib,1
Omvoh (mirikizumab-mrkz) interacts with lomitapide,1
Rifampin (rifampin (oral/injection)) interacts with febuxostat,0
Diazepam (diazepam (oral)) interacts with lanreotide,0
Suboxone (buprenorphine and naloxone (oral/sublingual)) interacts with chlorpheniramine,0
Soliris (eculizumab) interacts with nadofaragene firadenovec,1
"Uribel (hyoscyamine, methenamine, methylene blue, phenyl salicylate, Sodium biphosphate monobasic) interacts with omeprazole",0
Avonex (interferon beta-1a) interacts with indomethacin,1
Doxylamine (doxylamine) interacts with physostigmine ophthalmic,1
Tecentriq (atezolizumab) interacts with halobetasol topical,0
Halobetasol Topical (halobetasol topical) interacts with saxagliptin,1
Tretinoin Topical (tretinoin) interacts with azithromycin,0
Entyvio (vedolizumab) interacts with methylphenidate hydrochloride,0
Flomax (tamsulosin) interacts with nelfinavir,1
Paracetamol (paracetamol) interacts with atenolol,0
GlycoLax (polyethylene glycol 3350) interacts with quetiapine,0
Lisdexamfetamine (lisdexamfetamine) interacts with fexinidazole,1
Azilect (rasagiline) interacts with selegiline,1
Amantadine (amantadine) interacts with triflupromazine,1
4-Way (phenylephrine nasal) interacts with esketamine,1
Valtoco (diazepam nasal spray) interacts with pentazocine,1
Saxenda (liraglutide) interacts with ma huang,1
Diovan (valsartan) interacts with triamcinolone (oral),0
Januvia (sitagliptin) interacts with ferrous sulfate,0
Zomig (zolmitriptan (oral)) interacts with enzalutamide,0
Dayvigo (lemborexant) interacts with osimertinib,0
Eszopiclone (eszopiclone) interacts with mirtazapine,0
Ultram (tramadol) interacts with lisocabtagene maraleucel,0
Phentermine (phentermine) interacts with isocarboxazid,1
Stelara (ustekinumab) interacts with salicylic acid topical,0
Benztropine (benztropine (oral/injection)) interacts with betamethasone topical,0
Benazepril (benazepril) interacts with insulin isophane,0
Revlimid (lenalidomide) interacts with retifanlimab,1
Darzalex (daratumumab) interacts with sunitinib,0
Diflucan (fluconazole) interacts with anagrelide,1
Bunavail (buprenorphine and naloxone (oral/sublingual)) interacts with iron sucrose (injection),0
Zomig (zolmitriptan (oral)) interacts with dolasetron,1
Halobetasol Topical (halobetasol topical) interacts with empagliflozin,1
Potassium Chloride (potassium chloride) interacts with escitalopram,0
Ezetimibe (ezetimibe) interacts with ethinyl estradiol and norelgestromin,0
Simvastatin (simvastatin) interacts with selpercatinib,0
Alprazolam (alprazolam) interacts with nan,0
Aristada Injection (aripiprazole lauroxil (injection)) interacts with oxycodone,1
Insulin degludec (insulin degludec) interacts with chlorothiazide,1
Nexplanon (etonogestrel (implant)) interacts with lisinopril,0
Xanax (alprazolam) interacts with rituximab,0
Elagolix (Elagolix) interacts with duvelisib,1
"Widaplik (telmisartan, amlodipine, and indapamide) interacts with testosterone topical",0
Nayzilam Nasal Spray (midazolam (nasal)) interacts with methadone,1
Aubagio (teriflunomide) interacts with pioglitazone (oral),0
"Breztri (budesonide, glycopyrrolate, and formoterol fumarate) interacts with tofacitinib",1
Ozempic (semaglutide injection) interacts with furosemide (oral/injection),0
Hibiclens (chlorhexidine topical) interacts with valsartan,0
Varenicline (varenicline) interacts with olodaterol and tiotropium,0
Nucala (mepolizumab) interacts with tizanidine,0
Provera (medroxyprogesterone (oral)) interacts with Lanadelumab,0
Bavencio (avelumab) interacts with pomalidomide,1
Ferrous fumarate (ferrous fumarate) interacts with magnesium oxide,1
Ultomiris (ravulizumab) interacts with empagliflozin and metformin,0
"Xywav (calcium oxybate, magnesium oxybate, potassium oxybate, and sodium oxybate) interacts with valacyclovir",0
Norepinephrine (norepinephrine) interacts with dihydroergotamine,1
Prevnar 20 (Pneumococcal 20-valent conjugate vaccine) interacts with insulin isophane,0
Zovirax (acyclovir (oral)) interacts with meclizine,0
"Myfembree (relugolix, estradiol and norethindrone acetate) interacts with glucagon",0
Vistaril (hydroxyzine) interacts with bupropion,0
Infed (iron dextran) interacts with enalaprilat,1
Trastuzumab deruxtecan (fam-trastuzumab deruxtecan) interacts with dengue vaccine,1
Alecensa (alectinib) interacts with ponesimod,1
Medrol (methylprednisolone (oral)) interacts with rotavirus vaccine,1
Amoxicillin and Clavulanate (amoxicillin and clavulanate potassium) interacts with ivermectin (oral),0
Paroxetine (paroxetine) interacts with tranylcypromine,1
"Infed (iron dextran) interacts with budesonide, glycopyrrolate, and formoterol fumarate",0
Xyosted Injection (testosterone injection) interacts with levothyroxine / liothyronine,1
Uptravi (selexipag (oral/injection)) interacts with medroxyprogesterone (oral),0
Kenalog-40 (triamcinolone acetonide 40mg/mL) interacts with ritlecitinib,1
Breyanzi (lisocabtagene maraleucel) interacts with natalizumab,1
Desvenlafaxine (desvenlafaxine) interacts with prednisone,0
Ozanimod (ozanimod) interacts with linaclotide,0
Fluocinonide (fluocinonide topical) interacts with glimepiride,1
Chlorthalidone (chlorthalidone) interacts with tizanidine,1
Auvelity (bupropion and dextromethorphan) interacts with sotalol,0
Xadago (safinamide) interacts with imipramine,1
Omega-3 Fish Oil (omega-3 polyunsaturated fatty acids) interacts with palopegteriparatide,0
Ertapenem (ertapenem) interacts with ethinyl estradiol,1
Keppra (levetiracetam (oral/injection)) interacts with esketamine,1
Briviact (brivaracetam) interacts with trimethobenzamide,1
Yusimry (adalimumab-aqvh) interacts with romosozumab,0
Flovent (fluticasone inhalation) interacts with levoketoconazole,1
Insulin aspart (insulin aspart) interacts with bupropion,0
Paxlovid (nirmatrelvir and ritonavir) interacts with ondansetron (oral),0
"Xembify (immune globulin subcutaneous (human-klhw) 20%) interacts with cholera vaccine, live",1
Coumadin (warfarin (oral)) interacts with diethylstilbestrol,1
Glyxambi (empagliflozin and linagliptin) interacts with histrelin,1
Esomeprazole (esomeprazole (oral)) interacts with gefitinib,1
Rivaroxaban (rivaroxaban) interacts with aducanumab,1
Sotalol (sotalol) interacts with adenosine,1
Rifampin (rifampin (oral/injection)) interacts with rozanolixizumab-noli,0
Umeclidinium (umeclidinium) interacts with pimozide,1
Florastor (saccharomyces boulardii lyo) interacts with ethambutol,0
Methotrexate (methotrexate (oral)) interacts with tofacitinib,1
"Cefdinir (cefdinir) interacts with fecal microbiota spores, live",1
Prozac (fluoxetine) interacts with quinine,0
Acetaminophen and Hydrocodone (acetaminophen and hydrocodone) interacts with naproxen,0
Kayexalate (sodium polystyrene sulfonate) interacts with tramadol,0
Briviact (brivaracetam) interacts with amoxapine,1
Febuxostat (febuxostat) interacts with terazosin,0
Lenvima (lenvatinib) interacts with moxifloxacin,1
Oseltamivir (oseltamivir) interacts with brexucabtagene autoleucel,0
Fosfomycin (fosfomycin) interacts with bcg,1
Entecavir (entecavir) interacts with quinapril,0
Jadenu (deferasirox) interacts with cabozantinib,1
Beyfortus (nirsevimab-alip) interacts with alprazolam,0
Nitrostat (nitroglycerin (sublingual)) interacts with ferrous sulfate,0
Ranitidine (ranitidine) interacts with siponimod,1
Singulair (montelukast) interacts with canagliflozin,0
Cabenuva (cabotegravir and rilpivirine) interacts with carvedilol,0
Zaleplon (zaleplon) interacts with esketamine,1
Hydrochlorothiazide (hydrochlorothiazide) interacts with loratadine,0
Aromasin (exemestane) interacts with elafibranor,1
Tirzepatide interacts with etomidate,1
Lithium (lithium) interacts with pasireotide,1
Revlimid (lenalidomide) interacts with granisetron (oral),0
Dicyclomine (dicyclomine (oral/injection)) interacts with edrophonium,1
Ultracet (acetaminophen and tramadol) interacts with neostigmine,1
Galantamine (galantamine) interacts with nilutamide,0
Brukinsa (zanubrutinib) interacts with sumatriptan (oral/nasal),0
Mavenclad (cladribine (oral)) interacts with progesterone,0
4-Way (phenylephrine nasal) interacts with ketamine,1
Piperacillin and tazobactam (piperacillin and tazobactam) interacts with methotrexate,1
5-hydroxytryptophan (5-hydroxytryptophan) interacts with lanadelumab-flyo,0
Abilify Asimtufii (aripiprazole) interacts with ozanimod,1
Paxil (paroxetine) interacts with bupropion,1
Seroquel (quetiapine) interacts with tapentadol,1
Ravulizumab (ravulizumab-cwvz) interacts with etrasimod,1
Losartan (losartan) interacts with semaglutide,0
Allegra (fexofenadine) interacts with midostaurin,1
Vyvanse (lisdexamfetamine) interacts with quinidine,1
Breo Ellipta (fluticasone and vilanterol) interacts with paracetamol,0
Tirzepatide interacts with bortezomib,0
Sucralfate (sucralfate (oral)) interacts with insulin glargine,1
Minoxidil interacts with minoxidil,1
Itraconazole (itraconazole) interacts with darolutamide,0
Impoyz cream (clobetasol propionate 0.025%) interacts with saxagliptin,1
Briviact (brivaracetam) interacts with levofloxacin (oral),0
Tetracycline (tetracycline) interacts with mavacamten,0
Zofran ODT (ondansetron (oral)) interacts with imipramine,1
Atomoxetine (atomoxetine) interacts with fexinidazole,1
Entyvio (vedolizumab) interacts with ethambutol,0
Stelara (ustekinumab) interacts with ruxolitinib,0
Uroxatral (alfuzosin) interacts with ketorolac ophthalmic,0
Telmisartan (telmisartan) interacts with gabapentin,0
"Morphine interacts with Coagulation Factor IX (Recombinant), Fc Fusion Protein",0
Modafinil (modafinil) interacts with larotrectinib,1
Medrol (methylprednisolone (oral)) interacts with iopamidol,1
Kayexalate (sodium polystyrene sulfonate) interacts with rabeprazole,1
Takhzyro (lanadelumab-flyo) interacts with halobetasol propionate 0.05%,0
Faslodex (fulvestrant) interacts with aripiprazole,0
Abiraterone (abiraterone acetate) interacts with pasireotide,1
Xyzal (levocetirizine) interacts with butabarbital,1
Tamoxifen (tamoxifen) interacts with ginger,0
Sertraline (sertraline) interacts with pasireotide,1
Celecoxib (celecoxib) interacts with thioridazine,1
Empagliflozin (empagliflozin) interacts with chlorambucil,0
Tadalafil (tadalafil) interacts with c1 esterase inhibitor subcutaneous (human),0
Norvasc (amlodipine) interacts with oxycodone,0
5-HTP (5-hydroxytryptophan) interacts with pentazocine,1
Focalin (dexmethylphenidate) interacts with orphenadrine,0
Jaypirca (pirtobrutinib) interacts with dengue vaccine,1
Entyvio (vedolizumab) interacts with ozanimod,1
Carvedilol (carvedilol) interacts with morphine,1
Erythromycin (erythromycin (oral/injection)) interacts with fremanezumab-vfrm,0
Coumadin (warfarin (oral)) interacts with tizanidine,0
Luxiq (betamethasone topical) interacts with semaglutide,1
Jornay PM (methylphenidate hydrochloride) interacts with procarbazine,1
Itraconazole (itraconazole) interacts with degarelix,0
Bentyl (dicyclomine (oral/injection)) interacts with neostigmine,1
"Jynneos (smallpox and Mpox vaccine, live, non-replicating) interacts with mycophenolic acid",1
Tramadol (tramadol) interacts with ephedrine,1
Quillivant XR (methylphenidate (oral)) interacts with montelukast,0
Ertapenem (ertapenem) interacts with vibegron,0
Dicyclomine (dicyclomine (oral/injection)) interacts with methscopolamine,1
Naprosyn (naproxen) interacts with danaparoid,1
Reclast (zoledronic acid) interacts with etelcalcetide,1
Umeclidinium (umeclidinium) interacts with eluxadoline,1
Wellbutrin XL (bupropion) interacts with lumateperone,1
Osimertinib (osimertinib) interacts with clomipramine,1
Ofloxacin (ofloxacin (oral)) interacts with tolterodine,0
Dopamine Injection (dopamine (injection)) interacts with ergonovine,1
Neupro Skin Patches (rotigotine (transdermal)) interacts with promazine,1
Alunbrig (brigatinib) interacts with telotristat,1
Restasis (cyclosporine ophthalmic) interacts with levobunolol ophthalmic,1
Mavyret (glecaprevir and pibrentasvir) interacts with colchicine,1
Norepinephrine (norepinephrine) interacts with methylergonovine,1
Celebrex (celecoxib) interacts with ioxilan,1
Urispas (flavoxate) interacts with sulfamethoxazole and trimethoprim,0
Isosorbide Mononitrate (isosorbide mononitrate) interacts with ginger,0
Solifenacin interacts with degarelix,0
Sabril (vigabatrin) interacts with aripiprazole lauroxil (injection),0
Estrace (estradiol oral) interacts with olmesartan,0
Lexapro (escitalopram) interacts with triclabendazole,1
Roflumilast Topical interacts with solifenacin,0
Prilosec (omeprazole) interacts with pexidartinib,1
Pentasa (mesalamine (oral)) interacts with tildrakizumab,0
Nebivolol (nebivolol) interacts with apomorphine,1
Hyzaar (hydrochlorothiazide and losartan) interacts with droperidol,1
Ropinirole (ropinirole (oral)) interacts with nintedanib,0
"Excedrin Migraine (acetaminophen, aspirin, and caffeine) interacts with phenylephrine nasal",0
Yorvipath (palopegteriparatide) interacts with lithium,1
Robaxin (methocarbamol) interacts with zolpidem,0
Bryhali (halobetasol propionate 0.01%) interacts with timolol,0
Herceptin (trastuzumab) interacts with tofacitinib,1
Dicyclomine (dicyclomine (oral/injection)) interacts with olodaterol and tiotropium,0
Bryhali (halobetasol propionate 0.01%) interacts with levocetirizine,0
Lorazepam (lorazepam (oral)) interacts with ibuprofen,0
Nitazoxanide (nitazoxanide) interacts with glipizide,1
Nitazoxanide (nitazoxanide) interacts with gemcitabine,0
Pepcid (famotidine) interacts with telithromycin,1
Cefixime (cefixime) interacts with zanubrutinib,0
Plaquenil (hydroxychloroquine) interacts with sarilumab,0
Praluent (alirocumab) interacts with oxycodone,0
Zofran ODT (ondansetron (oral)) interacts with toremifene,1
Winrevair (sotatercept) interacts with nintedanib,0
Baqsimi (glucagon) interacts with semaglutide,1
Yescarta (axicabtagene ciloleucel) interacts with ponesimod,1
Ketorolac ophthalmic (ketorolac ophthalmic) interacts with triptorelin,0
Otezla (apremilast) interacts with allogeneic processed thymus tissue,1
"Linzess (linaclotide) interacts with metoprolol succinate tablet, extended release",0
Phenytoin (phenytoin (oral)) interacts with nebivolol,0
Sunlenca (lenacapavir) interacts with estradiol oral,0
Cetirizine (cetirizine) interacts with suvorexant,1
Abilify Maintena (aripiprazole lauroxil (injection)) interacts with lomitapide,0
"Incruse Ellipta (umeclidinium) interacts with sofosbuvir, velpatasvir, and voxilaprevir",0
Abilify Maintena (aripiprazole lauroxil (injection)) interacts with oxycodone,1
Auvi-Q (epinephrine injection (auto-injector)) interacts with isoflurane,1
Fluphenazine (fluphenazine (oral/injection)) interacts with triptorelin,0
Toujeo SoloStar (insulin glargine) interacts with gatifloxacin,1
Bactrim (sulfamethoxazole and trimethoprim) interacts with fenfluramine,0
Isosorbide Mononitrate (isosorbide mononitrate) interacts with propranolol,0
Flovent (fluticasone inhalation) interacts with voriconazole,1
Agamree (vamorolone) interacts with piperacillin and tazobactam,0
Orencia (abatacept) interacts with chlorambucil,0
Hydromorphone (hydromorphone (oral)) interacts with pentobarbital,1
"Bavencio (avelumab) interacts with abacavir, dolutegravir, and lamivudine",0
Folic acid (folic acid) interacts with fosphenytoin,1
Evolocumab (evolocumab) interacts with nilutamide,0
Jantoven (warfarin (oral)) interacts with vorapaxar,1
"Clodan (clobetasol topical) interacts with insulin inhalation, rapid acting",1
Florastor (saccharomyces boulardii lyo) interacts with cortisone,1
Opcon-A (naphazoline and pheniramine ophthalmic) interacts with rivaroxaban,0
Azulfidine (sulfasalazine) interacts with ofloxacin (oral),0
Xgeva (denosumab) interacts with etanercept,1
Quinine (quinine) interacts with arsenic trioxide,1
Nitazoxanide (nitazoxanide) interacts with quizartinib,1
Entecavir (entecavir) interacts with mycophenolic acid,1
Ultiva (remifentanil) interacts with ado-trastuzumab emtansine,0
Koselugo (selumetinib) interacts with fexinidazole,1
Niacin (niacin (nicotinic acid)) interacts with albiglutide,1
MiraLAX (polyethylene glycol 3350) interacts with ticagrelor,0
Clopidogrel (clopidogrel) interacts with diclofenac,1
Ozempic (semaglutide injection) interacts with vorasidenib,0
Flecainide (flecainide) interacts with vemurafenib,1
Infliximab (infliximab) interacts with prabotulinumtoxinA,0
Epclusa (sofosbuvir/velpatasvir) interacts with rifabutin,1
Dutasteride (dutasteride) interacts with stiripentol,1
Jardiance (empagliflozin) interacts with phenobarbital,1
Ativan (lorazepam) interacts with olanzapine,1
Ultracet (acetaminophen and tramadol) interacts with mavorixafor,0
Sudafed (pseudoephedrine) interacts with metaproterenol,1
Donepezil (donepezil) interacts with hydromorphone (oral),0
Alprazolam (alprazolam) interacts with butorphanol,1
"Xembify (immune globulin subcutaneous (human-klhw) 20%) interacts with typhoid vaccine, live",1
Jantoven (warfarin (oral)) interacts with sulfamethoxazole,1
Crestor (rosuvastatin) interacts with nelfinavir,1
Wakix (pitolisant) interacts with rizatriptan,0
Hydrochlorothiazide and valsartan (hydrochlorothiazide and valsartan) interacts with clascoterone,0
Atenolol (atenolol) interacts with clonidine,1
Xeljanz (tofacitinib) interacts with glimepiride,0
Janumet XR (metformin and sitagliptin) interacts with dolutegravir,1
Zocor (simvastatin) interacts with telithromycin,1
Ranexa (ranolazine) interacts with secobarbital,1
Captopril (captopril) interacts with sodium nitrite,1
Dramamine (dimenhydrinate) interacts with raloxifene,0
Xeljanz (tofacitinib) interacts with talquetamab,1
Somatuline Depot (lanreotide) interacts with ergocalciferol (vitamin D2),0
Pioglitazone (pioglitazone (oral)) interacts with gemcitabine,0
Krazati (adagrasib) interacts with fluticasone inhalation,0
Triamcinolone (triamcinolone (oral)) interacts with risankizumab,0
Symbicort (budesonide and formoterol) interacts with infliximab,1
Nerlynx (neratinib) interacts with lansoprazole,1
Tamsulosin (tamsulosin) interacts with saquinavir,1
"Budesonide, glycopyrrolate, and formoterol inhaler (Budesonide, glycopyrrolate, and formoterol) interacts with beclomethasone inhalation",0
Dicyclomine (dicyclomine (oral/injection)) interacts with anastrozole,0
Sitagliptin (sitagliptin) interacts with fenofibrate,0
Upneeq (oxymetazoline ophthalmic) interacts with olodaterol,1
Xcopri (cenobamate) interacts with exemestane,0
Dicyclomine (dicyclomine (oral/injection)) interacts with dimenhydrinate,1
Caplyta (lumateperone) interacts with valsartan,0
Zofran (ondansetron (oral)) interacts with metronidazole (oral/injection),0
Dayvigo (lemborexant) interacts with azacitidine,0
Valacyclovir (valacyclovir) interacts with alirocumab,0
Rapamune (sirolimus) interacts with siponimod,1
Kisunla (donanemab) interacts with fondaparinux,1
Bystolic (nebivolol) interacts with oxazepam,0
Nadolol (nadolol) interacts with iobenguane I 131,1
Wellbutrin SR (bupropion) interacts with rimantadine,1
Ketoconazole (ketoconazole) interacts with citalopram,1
Gleevec (imatinib) interacts with warfarin,1
Elagolix (Elagolix) interacts with lidocaine injection,0
Eliquis (apixaban) interacts with phenytoin,1
Alunbrig (brigatinib) interacts with acetylcysteine (oral),0
Lamotrigine (lamotrigine) interacts with tafamidis,0
Fluvoxamine (fluvoxamine) interacts with liothyronine,0
Amantadine (amantadine) interacts with iloperidone,1
Unisom Sleep Gels (diphenhydramine) interacts with levorphanol,1
Upneeq (oxymetazoline ophthalmic) interacts with methysergide maleate,1
Rizatriptan (rizatriptan) interacts with rosuvastatin,0
Nexium (esomeprazole magnesium (oral)) interacts with doxylamine,0
Losartan (losartan) interacts with escitalopram,0
Carvykti (ciltacabtagene autoleucel) interacts with mometasone,1
Ofloxacin (ofloxacin (oral)) interacts with hydroxyzine,0
Pristiq (desvenlafaxine) interacts with ampicillin and sulbactam,0
Forteo (teriparatide) interacts with tofacitinib,0
Tepezza (teprotumumab-trbw) interacts with beclomethasone nasal,0
Pentasa (mesalamine (oral)) interacts with Lanadelumab,0
"Xywav (calcium oxybate, magnesium oxybate, potassium oxybate, and sodium oxybate) interacts with metoprolol",0
Belsomra (suvorexant) interacts with remifentanil,1
EpiPen (epinephrine injection) interacts with ciprofloxacin (oral),0
Piperacillin and tazobactam (piperacillin and tazobactam) interacts with paliperidone (oral),0
Ranexa (ranolazine) interacts with ivabradine,1
FluMist (influenza virus vaccine (nasal)) interacts with lisocabtagene maraleucel,1
Apixaban (apixaban) interacts with clonazepam,0
Paxil (paroxetine) interacts with ticagrelor,0
Sublocade Injection (buprenorphine (injection)) interacts with mifepristone,1
Sunosi (solriamfetol) interacts with ferrous sulfate,0
Pioglitazone (pioglitazone (oral)) interacts with lumateperone,1
